Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,56.40476056179142,2025-12-11 09:50:00,177.29,0.0,2025-12-11 09:55:00,176.835,0.0,-25.66416605561426,-0.002566416605561426,Long,Closed,0
1,0,56.1649633084317,2025-12-11 10:00:00,177.59,0.0,2025-12-11 14:30:00,181.035,0.0,193.48829859754733,0.01939861478686864,Long,Closed,1
2,0,57.55915161359713,2025-12-12 11:25:00,176.65,0.0,2025-12-12 11:30:00,176.005,0.0,-37.12565279076989,-0.003651287857345007,Long,Closed,2
3,0,57.72148868868534,2025-12-12 11:35:00,175.51,0.0,2025-12-12 12:10:00,176.86,0.0,77.9240097297261,0.007691869409150564,Long,Closed,3
4,0,57.67257493633631,2025-12-15 08:15:00,177.01,0.0,2025-12-15 10:05:00,177.68,0.0,-38.6406252073466,-0.00378509688718164,Short,Closed,4
5,0,57.843145627764436,2025-12-15 10:20:00,175.82,0.0,2025-12-17 10:00:00,174.12,0.0,-98.33334756719887,-0.009668979638266344,Long,Closed,5
6,0,57.89634695738298,2025-12-17 10:05:00,173.96,0.0,2025-12-17 10:40:00,172.38,0.0,-91.47622819266508,-0.009082547712117724,Long,Closed,6
7,0,57.8460110619236,2025-12-17 10:45:00,172.53,0.0,2025-12-17 11:10:00,171.09,0.0,-83.29825592917041,-0.008346374543557685,Long,Closed,7
8,0,57.8460110619236,2025-12-17 11:15:00,171.09,0.0,2025-12-17 11:35:00,170.53,0.0,-32.39376619467657,-0.0032731311005902678,Long,Closed,8
9,0,57.06959945843119,2025-12-18 08:10:00,172.85,0.0,2025-12-18 08:30:00,173.42,0.0,-32.52967169130534,-0.0032976569279721856,Short,Closed,9
10,0,56.46976391188631,2025-12-18 08:35:00,174.11,0.0,2025-12-18 09:45:00,172.88,0.0,69.457809611622,0.0070644994543681144,Short,Closed,10
11,0,56.42310399356155,2025-12-18 10:40:00,175.485,0.0,2025-12-18 11:45:00,175.87,0.0,-21.722895037521084,-0.00219391970823716,Short,Closed,11
12,0,55.4042480331574,2025-12-19 09:35:00,178.32,0.0,2025-12-19 09:50:00,179.475,0.0,-63.991906478297096,-0.006477119784656827,Short,Closed,12
13,0,54.45146646766888,2025-12-19 09:55:00,180.265,0.0,2025-12-19 10:05:00,179.48,0.0,42.74440117712038,0.00435470002496328,Short,Closed,13
14,0,53.517387785524406,2025-12-22 08:05:00,184.21,0.0,2025-12-22 09:40:00,182.7,0.0,80.81125555614199,0.00819716627761795,Short,Closed,14
15,0,52.265074720132475,2025-12-26 08:25:00,190.17,0.0,2025-12-26 09:40:00,192.095,0.0,-100.61026883625527,-0.010122521954041147,Short,Closed,15
16,0,51.5530351368458,2025-12-26 15:50:00,190.845,0.0,2025-12-29 08:25:00,188.25,0.0,133.78012618011599,0.013597421991668746,Short,Closed,16
17,0,52.97433793822817,2025-12-29 08:25:00,188.25000000000003,0.0,2025-12-29 08:35:00,188.05,0.0,-10.59486758764615,-0.0010624169986720303,Long,Closed,17
18,0,52.9180571011092,2025-12-29 08:40:00,188.25,0.0,2025-12-29 09:50:00,186.585,0.0,-88.10856507334756,-0.008844621513944297,Long,Closed,18
19,0,51.697553192368495,2026-01-02 09:35:00,190.99,0.0,2026-01-02 09:40:00,191.71,0.0,-37.222238298505545,-0.0037698308811979914,Short,Closed,19
20,0,51.13851544534419,2026-01-02 09:45:00,192.35,0.0,2026-01-02 10:10:00,191.065,0.0,65.71299234726575,0.006680530283337511,Short,Closed,20
21,0,52.37599935607331,2026-01-02 11:00:00,189.06,0.0,2026-01-05 08:55:00,191.81,0.0,144.03399822920073,0.014545646884586816,Long,Closed,21
22,0,52.37599935607331,2026-01-05 08:55:00,191.80999999999997,0.0,2026-01-05 09:10:00,192.08,0.0,-14.141519826140211,-0.0014076429800323653,Short,Closed,22
23,0,52.2260342374006,2026-01-05 09:15:00,192.09,0.0,2026-01-05 10:10:00,189.815,0.0,118.81422789008684,0.011843406736425682,Short,Closed,23
24,0,54.12809952570116,2026-01-05 12:05:00,187.535,0.0,2026-01-05 13:40:00,188.165,0.0,34.10070270119104,0.003359372917055415,Long,Closed,24
25,0,53.673133680720696,2026-01-06 08:40:00,189.76,0.0,2026-01-06 09:10:00,190.18,0.0,-22.542716145904706,-0.0022133220910625926,Short,Closed,25
26,0,52.95160030798069,2026-01-06 09:55:00,191.92,0.0,2026-01-06 10:50:00,189.46,0.0,130.2609367576315,0.012817840766986147,Short,Closed,26
27,0,54.72819730879611,2026-01-06 11:00:00,188.07,0.0,2026-01-06 11:35:00,189.24,0.0,64.031990851292,0.006221087892805923,Long,Closed,27
28,0,54.50928451956093,2026-01-07 10:00:00,190.0,0.0,2026-01-07 10:10:00,190.525,0.0,-28.61737437276861,-0.002763157894736757,Short,Closed,28
29,0,54.20887906754393,2026-01-07 10:15:00,190.525,0.0,2026-01-07 15:10:00,188.87,0.0,89.71569485678629,0.008686524078205063,Short,Closed,29
30,0,55.69857987168838,2026-01-08 09:40:00,187.04,0.0,2026-01-08 09:55:00,185.03,0.0,-111.9541455420931,-0.010746364414029033,Long,Closed,30
31,0,55.69857987168838,2026-01-08 10:00:00,185.03,0.0,2026-01-08 10:05:00,186.06,0.0,57.369537267839405,0.005566664865157038,Long,Closed,31
